a,b,V0,R,C,k,mws_projection_fraction,mws_local_snr_dB,mws_peak_amplitude,mws_rough_frequency_Hz,mws_frequency_Hz,frequency_error_Hz,abs_frequency_error_Hz,original_projection_energy,original_energy_fraction,combined_score
1,0.8,0.8,0.8,0.35,0.32,0.143091678467821,24.6753260568234,0.00262801154941313,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.35,0.48,0.153529598310724,25.3161107935834,0.00708536762410291,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.35,0.7,0.141688885938639,26.7867250074031,0.0141638035306864,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.04,0.0897312398586179,23.7121397725053,0.000477142834688878,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.08,0.129317148120752,27.3164739168134,0.000683768209372471,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.14,0.135465656461146,28.0095346963547,0.000797531338573576,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.22,0.147628409892989,27.2459522661503,0.00100965273463314,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.32,0.139213035501734,25.3827500163164,0.00212948904601261,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.48,0.149236066681434,24.7972958186027,0.00610665230938858,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.6,0.7,0.142595001451972,26.1735686751003,0.0131321265412745,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.9,0.04,0.105176306256817,23.540428005922,0.000446811698434272,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.9,0.08,0.135163743738926,26.699017044827,0.000608735149047838,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.9,0.14,0.137836499875245,25.8966599872899,0.000699575431899612,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
